program_base,program,mode,approx_type,N,dist,K,tempo_mean,tempo_std,ipc_mean,cache_miss_rate_mean,cache_misses_mean,checksum_mean,error_abs_mean,error_rel_mean,rmse_mean,error_max_mean,parameter_type,kernel_size,block_size,tempo_exact_mean,speedup_vs_exact
conv_linear,conv_linear_approx,approx,float,1024,0,3,0.0163447,4.728647915748286e-05,2.0234134559384818,0.5117346962198598,688747.8,522340.16629029997,1.99846e-08,3.9836e-08,2.56745e-08,1.4375189999999998e-07,K,3.0,,0.0125355,0.7669458601259124
conv_linear,conv_linear_approx,approx,float,1024,0,5,0.0248772,4.537693981161199e-05,2.1620435629827077,0.4971972704136607,701981.0,520300.7627212,2.98688e-08,5.95079e-08,3.80309e-08,2.154092e-07,K,5.0,,0.022334899999999998,0.8978060231858891
conv_linear,conv_linear_approx,approx,float,1024,0,7,0.045372,0.00023612096711455249,2.3418534153514696,0.4736677299251581,705294.0,518263.7152085,3.96564e-08,7.908e-08,5.03924e-08,2.874703e-07,K,7.0,,0.0404228,0.890919509829851
conv_linear,conv_linear_approx,approx,float,1024,1,3,0.0162633,0.0001401705706947394,2.0558707524158093,0.4974141836608812,683253.7,-559.3560706999999,1.86115e-08,3.862674e-07,2.5613099999999998e-08,2.6020799999999997e-07,K,3.0,,0.0122327,0.7521659195858159
conv_linear,conv_linear_approx,approx,float,1024,1,5,0.024518699999999997,0.0002868352411325282,2.1327938764814065,0.48600795191250235,696615.6,-567.7690964999999,1.69211e-08,7.526611e-07,2.3163e-08,2.4863390000000004e-07,K,5.0,,0.022153,0.9035144603914563
conv_linear,conv_linear_approx,approx,float,1024,1,7,0.0445585,0.0005299004623511858,2.2040105932754157,0.4630003590446517,698305.3,-577.7456958,1.5709e-08,9.540964e-07,2.1881e-08,2.560323e-07,K,7.0,,0.040472999999999995,0.9083115454963698
conv_linear,conv_linear_approx,approx,float,1024,2,3,0.0163434,4.791937673495675e-05,2.1874250446698413,0.5189228988411057,695141.4,1044881.5378384,4.08231e-08,4.07783e-08,5.49036e-08,5.675576e-07,K,3.0,,0.0123468,0.7554609200044053
conv_linear,conv_linear_approx,approx,float,1024,2,5,0.024932199999999998,0.0003412238756789055,2.283508920269992,0.48666659311603977,687592.0,1040801.9271346001,6.13901e-08,6.11305e-08,7.97362e-08,5.466226e-07,K,5.0,,0.022317,0.8951075316257692
conv_linear,conv_linear_approx,approx,float,1024,2,7,0.045193699999999996,0.00022477892843117257,2.3641510922274414,0.47339910082089853,699102.9,1036732.1651922001,8.14753e-08,8.11428e-08,1.0481599999999999e-07,6.919679e-07,K,7.0,,0.0404561,0.8951712296182877
conv_linear,conv_linear_approx,approx,float,2048,0,3,0.0641742,0.0008118130326620783,2.0375937847028056,0.7092656168072511,3558311.9,2093281.0094246,2.13387e-08,4.24217e-08,2.74954e-08,1.5654229999999998e-07,K,3.0,,0.0488626,0.7614056739312683
conv_linear,conv_linear_approx,approx,float,2048,0,5,0.09749840000000001,0.000685576189136637,2.174829926354608,0.6700911004457868,3564830.0,2089198.0714134998,3.04699e-08,6.07027e-08,3.8774299999999997e-08,2.4274790000000003e-07,K,5.0,,0.0889422,0.9122426624436912
conv_linear,conv_linear_approx,approx,float,2048,0,7,0.1782687,0.0019616825006441093,2.3446432710246787,0.6335607134345003,3620213.7,2085115.5496725999,4.04837e-08,8.07534e-08,5.12874e-08,3.102258e-07,K,7.0,,0.1608498,0.9022885116680606
conv_linear,conv_linear_approx,approx,float,2048,1,3,0.0627494,0.00045324758993046574,2.060093039510218,0.7037228386942277,3599305.5,-501.23367959999996,1.85569e-08,5.715176000000001e-07,2.5556300000000004e-08,2.806305e-07,K,3.0,,0.048132799999999996,0.7670639081807953
conv_linear,conv_linear_approx,approx,float,2048,1,5,0.0971208,0.0028565668127238947,2.130027894154729,0.6655154917539963,3617375.0,-516.9343127,1.6793700000000002e-08,1.1184138e-06,2.28973e-08,2.564163e-07,K,5.0,,0.0870597,0.8964063310845876
conv_linear,conv_linear_approx,approx,float,2048,1,7,0.1738674,0.0005409662548522619,2.265252907277616,0.6273527445884279,3628798.8,-526.7654842,1.5871999999999998e-08,1.0207355e-06,2.20499e-08,2.791746e-07,K,7.0,,0.1574947,0.9058322606768145
conv_linear,conv_linear_approx,approx,float,2048,2,3,0.0647941,0.0008988635355578507,2.1983685507607227,0.7121967766256302,3592349.7,4186744.4317052,4.32784e-08,4.3085600000000004e-08,5.8475299999999996e-08,6.580784e-07,K,3.0,,0.0491663,0.7588082865569552
conv_linear,conv_linear_approx,approx,float,2048,2,5,0.0988113,0.0031411703073854517,2.285172085987594,0.6680515240509483,3636594.8,4178582.8094565,6.26513e-08,6.237799999999999e-08,8.14301e-08,6.478628e-07,K,5.0,,0.0891994,0.902724688370662
conv_linear,conv_linear_approx,approx,float,2048,2,7,0.17585420000000002,0.0008530534436820301,2.4248571528716343,0.6321866429880753,3611723.1,4170434.0061486,8.31176e-08,8.27988e-08,1.0669329999999999e-07,7.833743e-07,K,7.0,,0.1601634,0.910773811487016
conv_linear,conv_linear_approx,approx,skip_kernel,512,0,3,0.0029783,0.00029854054256592277,1.759388891974168,0.3148590582116175,107676.1,130078.59920649999,0.1143777242961,0.241803987286,0.1422623975383,0.5417201368906001,K,3.0,,0.0043309,1.4541516972769701
conv_linear,conv_linear_approx,approx,skip_kernel,512,0,5,0.0037875,0.00043712984341039905,2.0127110644885198,0.3100176860812357,108987.5,129063.9375518,0.0757838792158,0.15443669216130002,0.0951226979259,0.40037515293690007,K,5.0,,0.0063694,1.6816897689768977
conv_linear,conv_linear_approx,approx,skip_kernel,512,0,7,0.0049642,0.00010390786517123909,2.222504956501085,0.3000799545419638,108700.0,128050.67010900001,0.05455194639410001,0.110116855588,0.0689383031862,0.31102430864950004,K,7.0,,0.0105232,2.119817896136336
conv_linear,conv_linear_approx,approx,skip_kernel,512,1,3,0.0025302,0.00013826849886282045,1.923771253724286,0.31831480249722816,112061.4,-119.57803900000002,0.2935268489811,12.835710333651301,0.3693691097053,1.7405085732263998,K,3.0,,0.0032836,1.2977630226859538
conv_linear,conv_linear_approx,approx,skip_kernel,512,1,5,0.0035569000000000004,0.0001950609306515959,2.0470854247826358,0.3122287228659382,112888.7,-122.7873689,0.2397619601888,12.3593216261494,0.30292438916069997,1.4340803654714,K,5.0,,0.0057361999999999995,1.6126964491551627
conv_linear,conv_linear_approx,approx,skip_kernel,512,1,7,0.0049111,1.4027354229029506e-05,2.1663931669116394,0.3033679952964259,113452.6,-131.8818071,0.1787461117576,13.738836135183998,0.2267054515341,1.1082271516857,K,7.0,,0.0101189,2.06041416383295
conv_linear,conv_linear_approx,approx,skip_kernel,512,2,3,0.0028566999999999998,0.00015631311169856768,1.981899643438781,0.31852320164326564,109228.7,260303.0961371,0.3740172685354,0.3745841687439,0.49345211162649993,3.6306712632918,K,3.0,,0.0035909999999999996,1.2570448419505023
conv_linear,conv_linear_approx,approx,skip_kernel,512,2,5,0.0040632,0.0006048450306575323,2.1841977482293546,0.31085841941387593,109741.9,258279.7431451,0.2550835554263,0.253095126107,0.3299356817051,2.2925400252564,K,5.0,,0.006239,1.535489269541248
conv_linear,conv_linear_approx,approx,skip_kernel,512,2,7,0.0050082,0.00016775431771227537,2.350274426750736,0.30611048794474927,112239.6,256252.0009151,0.1862958924276,0.1854513823586,0.2390800909463,1.4471858841703,K,7.0,,0.0102655,2.049738428976479
conv_linear,conv_linear_approx,approx,skip_kernel,1024,0,3,0.0097426,0.00039061154332377054,1.7856127776468103,0.5506975887805294,605772.5,522340.53129230003,0.0939653703595,0.1971800501678,0.1167023300164,0.46181189422490004,K,3.0,,0.0125355,1.2866688563627777
conv_linear,conv_linear_approx,approx,skip_kernel,1024,0,5,0.013789399999999999,0.00015396550840294612,2.007757266372116,0.5274831968239468,605547.8,520300.865458,0.070032789697,0.1424245862569,0.0876400963141,0.40114600907979997,K,5.0,,0.022334899999999998,1.619715143516034
conv_linear,conv_linear_approx,approx,skip_kernel,1024,0,7,0.0196312,0.0006959921455495509,2.2671434537913377,0.49861867873657084,616717.9,518262.7046917,0.054219138699000004,0.10936237311659999,0.0681456570234,0.3261256486159,K,7.0,,0.0404228,2.0591099881820774
conv_linear,conv_linear_approx,approx,skip_kernel,1024,1,3,0.009437,3.8660919113061436e-05,1.935436682468395,0.5360447757298238,607855.4,-547.3102458000001,0.3560852395845,18.0418469526484,0.44724970548379994,2.2856900383128997,K,3.0,,0.0122327,1.2962488078838617
conv_linear,conv_linear_approx,approx,skip_kernel,1024,1,5,0.013686400000000001,0.00015815407396305368,2.0698508261854425,0.5286157110933708,622135.3,-558.3565625,0.2446522814807,16.1343657690638,0.3077956770577,1.5692961889243,K,5.0,,0.022153,1.61861409866729
conv_linear,conv_linear_approx,approx,skip_kernel,1024,1,7,0.0195199,0.00024869054845105945,2.185671187248688,0.4888665317440233,620320.2,-576.6510695,0.1931673706643,15.542767951626999,0.2435162453426,1.2621991192411,K,7.0,,0.040472999999999995,2.0734225072874346
conv_linear,conv_linear_approx,approx,skip_kernel,1024,2,3,0.0096758,0.00013088145611795263,2.012460174535849,0.5485400074126731,610446.0,1044885.8665914001,0.3080176979845,0.3056768283982,0.40466951725550004,3.4258736750689005,K,3.0,,0.0123468,1.2760495256206206
conv_linear,conv_linear_approx,approx,skip_kernel,1024,2,5,0.0137303,0.00016082291848835205,2.220216977064318,0.5308690989318571,613627.1,1040804.3199679,0.2368419138058,0.23575341093920002,0.3038727041189,2.2141903944181,K,5.0,,0.022317,1.6253832764032832
conv_linear,conv_linear_approx,approx,skip_kernel,1024,2,7,0.0194479,0.00019219576246918473,2.391567779967196,0.5065279284392029,629070.0,1036730.9741934,0.1854151953579,0.18480256729310002,0.23625510696639998,1.560809155697,K,7.0,,0.0404561,2.080229742028702
conv_linear,conv_linear_approx,approx,skip_kernel,2048,0,3,0.0379088,0.0002840140059144186,1.798920824368281,0.7091296286347395,2920939.4,2093276.9145651,0.1038169627375,0.2193916405296,0.128808550499,0.5187048545599,K,3.0,,0.0488626,1.2889513780441482
conv_linear,conv_linear_approx,approx,skip_kernel,2048,0,5,0.0550949,0.0008490917304194339,2.066313095531343,0.6657479007442333,2941706.8,2089196.8942357,0.0684540425308,0.1393534892173,0.0855619958583,0.40064503759869996,K,5.0,,0.0889422,1.6143454294317623
conv_linear,conv_linear_approx,approx,skip_kernel,2048,0,7,0.0790621,0.0012262769716141289,2.281584347107821,0.5791231576726394,2986775.3,2085114.7661561999,0.055204066139700005,0.11142237408530001,0.0691721247343,0.344426224598,K,7.0,,0.1608498,2.034474166509617
conv_linear,conv_linear_approx,approx,skip_kernel,2048,1,3,0.0371152,0.00033358717001707295,1.9474713360798215,0.6997642770113084,2939696.4,-504.54236520000006,0.357379949395,15.808733436946099,0.4483538896475,2.3549039888148,K,3.0,,0.048132799999999996,1.2968487304392808
conv_linear,conv_linear_approx,approx,skip_kernel,2048,1,5,0.053847599999999995,0.0005472292227414609,2.005237583608188,0.6551365287608709,2973555.5,-515.9543313,0.2424063241553,17.023379106605198,0.30439582296059997,1.5998429599367001,K,5.0,,0.0870597,1.6167795779199075
conv_linear,conv_linear_approx,approx,skip_kernel,2048,1,7,0.07640620000000001,0.00032599959100178586,2.194336947777761,0.5651064434118079,2995735.6,-521.7388388,0.1989425530174,18.8674666470979,0.2500572309316,1.3479593180295,K,7.0,,0.1574947,2.061281676094348
conv_linear,conv_linear_approx,approx,skip_kernel,2048,2,3,0.0385613,0.0005076138186543875,2.0238944743476135,0.7131398668243446,2985837.1,4186735.2980059,0.3397508092902,0.34107021801829995,0.44624063757009996,4.0870274546076,K,3.0,,0.0491663,1.2750166617826681
conv_linear,conv_linear_approx,approx,skip_kernel,2048,2,5,0.05536919999999999,0.0011486582317353274,2.231552033060198,0.6606005970835358,2987445.6,4178585.7265729,0.23162163633710003,0.2303761211275,0.2964267248857,2.2258988998048,K,5.0,,0.0891994,1.6109931153059824
conv_linear,conv_linear_approx,approx,skip_kernel,2048,2,7,0.0781958,0.0006322601082184786,2.3999162094499202,0.5665481876615251,2984550.7,4170434.6504117,0.1884841484129,0.1878786844077,0.2396405838294,1.7209313471357,K,7.0,,0.1601634,2.0482353272170633
conv_malloc,conv_malloc,exact,none,512,0,3,0.0032589,0.00045519555016376083,1.7043985191232043,0.24962212354707644,110576.6,130081.09320060001,0.0,0.0,0.0,0.0,K,3.0,,0.0032589,1.0
conv_malloc,conv_malloc,exact,none,512,0,5,0.0061849,0.000614576358152508,1.7940519380689053,0.25304518401010345,112854.3,129063.5772176,0.0,0.0,0.0,0.0,K,5.0,,0.0061849,1.0
conv_malloc,conv_malloc,exact,none,512,0,7,0.009867299999999999,0.0008813180848403523,1.9385916835420574,0.24965436209660466,113552.9,128050.34873569998,0.0,0.0,0.0,0.0,K,7.0,,0.009867299999999999,1.0
conv_malloc,conv_malloc,exact,none,512,1,3,0.0026496,0.00014285050460767265,1.9018737877543408,0.24100395025792992,112246.3,-123.77265480000001,0.0,0.0,0.0,0.0,K,3.0,,0.0026496,1.0
conv_malloc,conv_malloc,exact,none,512,1,5,0.0055531,0.0003260103781579149,1.920018336625395,0.2403761324713701,112689.3,-129.18992839999999,0.0,0.0,0.0,0.0,K,5.0,,0.0055531,1.0
conv_malloc,conv_malloc,exact,none,512,1,7,0.0093845,9.548123724934873e-06,1.9937651852414788,0.2380313283902944,113538.2,-135.16545150000002,0.0,0.0,0.0,0.0,K,7.0,,0.0093845,1.0
conv_malloc,conv_malloc,exact,none,512,2,3,0.0029765,0.00016756773091632085,1.939939558650675,0.25242563510308885,113655.8,260308.3805703,0.0,0.0,0.0,0.0,K,3.0,,0.0029765,1.0
conv_malloc,conv_malloc,exact,none,512,2,5,0.0060799,0.0004584814185014604,1.965307061400273,0.24957146589574403,112813.8,258278.5394574,0.0,0.0,0.0,0.0,K,5.0,,0.0060799,1.0
conv_malloc,conv_malloc,exact,none,512,2,7,0.0095159,0.0002755452977481398,2.043900921124917,0.24423670740051465,113077.5,256252.9558144,0.0,0.0,0.0,0.0,K,7.0,,0.0095159,1.0
conv_malloc,conv_malloc,exact,none,1024,0,3,0.0101968,7.1577153400292e-05,1.7237404838818484,0.47486319545942457,689332.4,522340.1653752,0.0,0.0,0.0,0.0,K,3.0,,0.0101968,1.0
conv_malloc,conv_malloc,exact,none,1024,0,5,0.0219619,4.624920419735793e-05,1.8110607670047407,0.4861415145686734,718731.6,520300.7628379,0.0,0.0,0.0,0.0,K,5.0,,0.0219619,1.0
conv_malloc,conv_malloc,exact,none,1024,0,7,0.037861,0.0003434750516574829,1.9572714984161295,0.4794998057368228,734171.4,518263.7159217,0.0,0.0,0.0,0.0,K,7.0,,0.037861,1.0
conv_malloc,conv_malloc,exact,none,1024,1,3,0.010087200000000001,0.00013388535726093775,1.91838251105154,0.43862707024371994,675220.1,-559.3560716,0.0,0.0,0.0,0.0,K,3.0,,0.010087200000000001,1.0
conv_malloc,conv_malloc,exact,none,1024,1,5,0.0216953,0.00029497308728462237,1.9348338051359746,0.44580272768328333,693551.2,-567.7690923,0.0,0.0,0.0,0.0,K,5.0,,0.0216953,1.0
