program,mode,approx_type,N,dist,K,seed,tempo,cycles,instructions,cache_references,cache_misses,checksum,error_abs_mean,error_rel_mean,rmse,error_max
conv_malloc,exact,none,512,0,5,12346,0.006604,40915792,73334807,453006,114215,129195.594560,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12346,0.007500,44580743,95189365,417743,131469,129195.594210,0.000000029205,0.000000058218,0.000000037357,0.000000194264
conv_linear_approx,approx,skip_kernel,512,0,5,12346,0.004213,34100441,68649651,351316,110218,129194.428900,0.084469160202,0.172139367537,0.105677986567,0.459842918674
conv_malloc_approx,approx,float,512,0,5,12346,0.007292,43624483,84517730,592087,155596,129195.594210,0.000000029205,0.000000058218,0.000000037357,0.000000194264
conv_malloc_approx,approx,skip_kernel,512,0,5,12346,0.003893,32343938,60482547,477718,103665,129194.428900,0.084469160202,0.172139367537,0.105677986567,0.459842918674
conv_linear,exact,none,512,0,5,12347,0.006817,42442795,87523055,392077,110954,128884.291522,0,0,0,0
conv_malloc,exact,none,512,0,5,12347,0.006571,40778368,73301159,442887,108654,128884.291522,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12347,0.007474,44446785,95231926,405515,126619,128884.292961,0.000000028157,0.000000056149,0.000000036069,0.000000196633
conv_linear_approx,approx,skip_kernel,512,0,5,12347,0.004220,34102731,68637176,355017,107778,128886.794142,0.071128516966,0.145048758245,0.089427229079,0.376246278122
conv_malloc_approx,approx,float,512,0,5,12347,0.007258,43436224,84508255,589333,134135,128884.292961,0.000000028157,0.000000056149,0.000000036069,0.000000196633
conv_malloc_approx,approx,skip_kernel,512,0,5,12347,0.003892,32367178,60447734,480658,106505,128886.794142,0.071128516966,0.145048758245,0.089427229079,0.376246278122
conv_linear,exact,none,512,0,5,12348,0.006824,42422900,87508336,397847,111596,129218.468253,0,0,0,0
conv_malloc,exact,none,512,0,5,12348,0.006606,40977057,73383967,455992,121897,129218.468253,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12348,0.007565,44767059,95189871,418345,142861,129218.468303,0.000000029859,0.000000059654,0.000000038080,0.000000193136
conv_linear_approx,approx,skip_kernel,512,0,5,12348,0.004219,34078667,68682800,363074,107702,129219.942652,0.069252684648,0.141178890740,0.086972144165,0.362774327660
conv_malloc_approx,approx,float,512,0,5,12348,0.007245,43523894,84467502,594314,136818,129218.468303,0.000000029859,0.000000059654,0.000000038080,0.000000193136
conv_malloc_approx,approx,skip_kernel,512,0,5,12348,0.003896,32359179,60489131,481926,104332,129219.942652,0.069252684648,0.141178890740,0.086972144165,0.362774327660
conv_linear,exact,none,512,0,5,12349,0.006766,42145088,87488400,379622,108223,128977.988682,0,0,0,0
conv_malloc,exact,none,512,0,5,12349,0.006644,40837841,73374864,445538,112337,128977.988682,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12349,0.007518,44592000,95240283,411350,130106,128977.988271,0.000000029459,0.000000058845,0.000000037592,0.000000187894
conv_linear_approx,approx,skip_kernel,512,0,5,12349,0.003446,34080342,68635848,347660,108700,128975.982725,0.066465993500,0.135446076494,0.083520503926,0.339929026716
conv_malloc_approx,approx,float,512,0,5,12349,0.005943,43569862,84458112,604648,138907,128977.988271,0.000000029459,0.000000058845,0.000000037592,0.000000187894
conv_malloc_approx,approx,skip_kernel,512,0,5,12349,0.003197,32296241,60411710,475099,103763,128975.982725,0.066465993500,0.135446076494,0.083520503926,0.339929026716
conv_linear,exact,none,512,0,5,12350,0.005606,42521670,87465841,390302,111777,129067.325499,0,0,0,0
conv_malloc,exact,none,512,0,5,12350,0.005401,40867827,73270576,447358,112595,129067.325499,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12350,0.006150,44728560,95226109,423721,131648,129067.325741,0.000000030529,0.000000060648,0.000000039205,0.000000201135
conv_linear_approx,approx,skip_kernel,512,0,5,12350,0.003456,34140258,68600468,344647,109219,129067.110643,0.086399959822,0.175677403032,0.108345154704,0.424073574074
conv_malloc_approx,approx,float,512,0,5,12350,0.005930,43466864,84485953,574144,134340,129067.325741,0.000000030529,0.000000060648,0.000000039205,0.000000201135
conv_malloc_approx,approx,skip_kernel,512,0,5,12350,0.003207,32412318,60527444,480292,107477,129067.110643,0.086399959822,0.175677403032,0.108345154704,0.424073574074
conv_linear,exact,none,512,0,5,12351,0.005568,42299270,87463050,390748,108887,129107.327071,0,0,0,0
conv_malloc,exact,none,512,0,5,12351,0.005402,40839537,73282277,438349,111098,129107.327071,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12351,0.006162,44616174,95122320,406845,130538,129107.328128,0.000000030562,0.000000060906,0.000000039039,0.000000229837
conv_linear_approx,approx,skip_kernel,512,0,5,12351,0.003458,34140739,68604537,350910,113303,129099.884998,0.071547427833,0.145522804153,0.090008348833,0.400255933427
conv_malloc_approx,approx,float,512,0,5,12351,0.006425,44048469,84455881,581675,136218,129107.328128,0.000000030562,0.000000060906,0.000000039039,0.000000229837
conv_malloc_approx,approx,skip_kernel,512,0,5,12351,0.003487,32400160,60487465,490611,110944,129099.884998,0.071547427833,0.145522804153,0.090008348833,0.400255933427
conv_linear,exact,none,512,0,5,12352,0.006043,43869070,87486111,384561,110545,128977.272667,0,0,0,0
conv_malloc,exact,none,512,0,5,12352,0.005914,40930984,73406740,449301,112348,128977.272667,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12352,0.006695,44691296,95235293,407328,130415,128977.271618,0.000000030770,0.000000061110,0.000000039504,0.000000224260
conv_linear_approx,approx,skip_kernel,512,0,5,12352,0.003450,34023446,68583110,338801,106033,128974.129495,0.071831281951,0.146183260786,0.090155965822,0.386754897874
conv_malloc_approx,approx,float,512,0,5,12352,0.005936,43450709,84486047,576488,139778,128977.271618,0.000000030770,0.000000061110,0.000000039504,0.000000224260
conv_malloc_approx,approx,skip_kernel,512,0,5,12352,0.003251,32351555,60516416,483186,109791,128974.129495,0.071831281951,0.146183260786,0.090155965822,0.386754897874
conv_linear,exact,none,512,0,5,12353,0.007236,42229861,87492898,386187,109455,129022.546312,0,0,0,0
